Skoleår;Skole;Fagkode;Fag;Karaktertype;Karaktersnitt årsslutt;Antall elever;Antall elever med standpunktkarakter >0
2019/20;Færder videregående skole;NOR1219;Norsk, vg2 yrkesfaglige utdanningsprogram, muntlig;Standpunkt;-;13;0
2019/20;Færder videregående skole;NOR1231;Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig;Standpunkt;3,77;145;130
2019/20;Færder videregående skole;NOR1232;Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig;Standpunkt;3,92;146;99
2019/20;Færder videregående skole;NOR1233;Norsk, vg3 påbygging til generell studiekompetanse, muntlig;Standpunkt;3,98;144;130
2019/20;Færder videregående skole;NOR1401;Norsk for elever i vgo med kort botid i Norge, vg1 studieforberedende utdanningsprogram, skriftlig;Standpunkt;-;2;0
2019/20;Færder videregående skole;NOR1402;Norsk for elever i vgo med kort botid i Norge, vg1 studieforberedende utdanningsprogram, muntlig;Standpunkt;-;2;0
2019/20;Færder videregående skole;NOR1403;Norsk for elever i vgo med kort botid i Norge, vg2 studieforberedende utdanningsprogram, skriftlig;Standpunkt;-;1;0
2019/20;Færder videregående skole;NOR1404;Norsk for elever i vgo med kort botid i Norge, vg2 studieforberedende utdanningsprogram, muntlig;Standpunkt;-;1;0
2019/20;Færder videregående skole;NOR1407;Norsk for elever i vgo med kort botid i Norge, vg1 yrkesfaglige utdanningsprogram;Standpunkt;2,20;7;0
2019/20;Færder videregående skole;NOR1408;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram;Standpunkt;2,92;15;11
2019/20;Færder videregående skole;NOR1410;Norsk for elever i vgo med kort botid i Norge, vg3 påbygging til generell studiekompetanse, skriftlig;Standpunkt;-;9;8
2019/20;Færder videregående skole;NOR1411;Norsk for elever i vgo med kort botid i Norge, vg3 påbygging til generell studiekompetanse, muntlig;Standpunkt;4,33;9;8
2019/20;Færder videregående skole;PIN2001;Produksjon;Standpunkt;4,88;11;11
2019/20;Færder videregående skole;PIN2002;Reparasjon og vedlikehold;Standpunkt;3,75;11;11
2019/20;Færder videregående skole;PIN2003;Dokumentasjon og kvalitet;Standpunkt;2,89;11;11
2019/20;Færder videregående skole;PIN2004;Tverrfaglig eksamen industriteknologi;Standpunkt;3,50;11;0
2019/20;Færder videregående skole;REA3004;Fysikk 1;Standpunkt;4,55;30;23
2019/20;Færder videregående skole;REA3018;Teknologi og forskningslære 1;Standpunkt;4,10;25;23
2019/20;Færder videregående skole;REA3022;Matematikk R1;Standpunkt;4,20;31;21
2019/20;Færder videregående skole;REA3024;Matematikk R2;Standpunkt;5,40;9;9
2019/20;Færder videregående skole;REL1001;Religion og etikk;Standpunkt;4,49;16;16
2019/20;Færder videregående skole;SAF1001;Samfunnsfag;Standpunkt;3,76;201;164
2019/20;Færder videregående skole;SPR3008;Internasjonal engelsk, skriftlig;Standpunkt;3,66;28;19
2019/20;Færder videregående skole;SPR3009;Internasjonal engelsk, muntlig;Standpunkt;3,83;28;19
2019/20;Færder videregående skole;SPR3014;Kommunikasjon og kultur 1;Standpunkt;3,78;23;22
2019/20;Færder videregående skole;TIP1001;Produksjon;Standpunkt;3,49;61;56
2019/20;Færder videregående skole;TIP1002;Tekniske tjenester;Standpunkt;4,03;61;57
2019/20;Færder videregående skole;TIP1003;Dokumentasjon og kvalitet;Standpunkt;4,17;61;56
2019/20;Færder videregående skole;YFF4103;Yrkesfaglig fordypning vg1;Standpunkt;-;8;0
2019/20;Færder videregående skole;YFF4106;Yrkesfaglig fordypning vg1;Standpunkt;3,78;196;174
2019/20;Færder videregående skole;YFF4201;Yrkesfaglig fordypning vg2;Standpunkt;-;1;1
2019/20;Færder videregående skole;YFF4204;Yrkesfaglig fordypning vg2;Standpunkt;-;1;1
2019/20;Færder videregående skole;YFF4207;Yrkesfaglig fordypning vg2;Standpunkt;-;1;1
2019/20;Færder videregående skole;YFF4209;Yrkesfaglig fordypning vg2;Standpunkt;3,71;172;158
2019/20;Greveskogen videregående skole;DRA2001;Teater og bevegelse 1;Standpunkt;-;9;9
2019/20;Greveskogen videregående skole;DRA2002;Teater og bevegelse 2;Standpunkt;-;13;11
2019/20;Greveskogen videregående skole;DRA2003;Teaterproduksjon 1;Standpunkt;5,63;9;9
2019/20;Greveskogen videregående skole;DRA2004;Teaterproduksjon 2;Standpunkt;-;13;10
2019/20;Greveskogen videregående skole;DRA2005;Teater i perspektiv 1;Standpunkt;-;9;9
2019/20;Greveskogen videregående skole;DRA2007;Teater i perspektiv 2;Standpunkt;4,47;13;11
2019/20;Greveskogen videregående skole;DRA2009;Drama og samfunn;Standpunkt;-;13;11
2019/20;Greveskogen videregående skole;DRA3001;Teaterproduksjon fordypning 1;Standpunkt;-;10;10
2019/20;Greveskogen videregående skole;DRA3002;Teaterproduksjon fordypning 2;Standpunkt;4,30;10;7
2019/20;Greveskogen videregående skole;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;Standpunkt;3,54;97;0
2019/20;Greveskogen videregående skole;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;Standpunkt;4,55;177;174
2019/20;Greveskogen videregående skole;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;Standpunkt;3,74;80;58
2019/20;Greveskogen videregående skole;ENG1103;Engelsk muntlig, vg2 yrkesfaglige utdanningsprogram;Standpunkt;4,00;7;0
2019/20;Greveskogen videregående skole;FSP5010;Finsk I, 1. år;Standpunkt;2,80;7;0
2019/20;Greveskogen videregående skole;FSP5011;Finsk I;Standpunkt;4,18;17;0
2019/20;Greveskogen videregående skole;FSP5019;Fransk I, 1. år;Standpunkt;-;14;0
2019/20;Greveskogen videregående skole;FSP5020;Fransk I;Standpunkt;-;10;10
2019/20;Greveskogen videregående skole;FSP5022;Fransk II, 1. år;Standpunkt;5,67;35;0
2019/20;Greveskogen videregående skole;FSP5023;Fransk II;Standpunkt;-;31;23
2019/20;Greveskogen videregående skole;FSP5026;Fransk I+II;Standpunkt;-;2;0
2019/20;Greveskogen videregående skole;FSP5089;Russisk I+II;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;FSP5091;Spansk I, 1. år;Standpunkt;-;25;0
2019/20;Greveskogen videregående skole;FSP5092;Spansk I;Standpunkt;4,03;25;21
2019/20;Greveskogen videregående skole;FSP5094;Spansk II, 1. år;Standpunkt;4,58;51;0
2019/20;Greveskogen videregående skole;FSP5095;Spansk II;Standpunkt;4,03;49;39
2019/20;Greveskogen videregående skole;FSP5098;Spansk I+II;Standpunkt;-;15;12
2019/20;Greveskogen videregående skole;FSP5099;Spansk II, muntlig;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;FSP5118;Tysk I, 1. år;Standpunkt;3,28;28;0
2019/20;Greveskogen videregående skole;FSP5119;Tysk I;Standpunkt;3,00;20;18
2019/20;Greveskogen videregående skole;FSP5121;Tysk II, 1. år;Standpunkt;5,05;39;0
2019/20;Greveskogen videregående skole;FSP5122;Tysk II;Standpunkt;5,08;46;45
2019/20;Greveskogen videregående skole;FSP5125;Tysk I+II;Standpunkt;3,50;11;10
2019/20;Greveskogen videregående skole;FSP5801;Albansk I;Standpunkt;3,25;1;0
2019/20;Greveskogen videregående skole;FSP5802;Albansk I, muntlig;Standpunkt;4,45;3;0
2019/20;Greveskogen videregående skole;FSP5808;Albansk II, muntlig;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;FSP5816;Arabisk I+II;Standpunkt;3,63;1;0
2019/20;Greveskogen videregående skole;FSP5817;Arabisk II, muntlig;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;FSP5918;Vietnamesisk I;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;FSP5919;Vietnamesisk I, muntlig;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;FSP6100;Litauisk I+II;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;FSP6101;Litauisk II, muntlig;Standpunkt;-;2;0
2019/20;Greveskogen videregående skole;GEO1001;Geografi;Standpunkt;4,34;174;169
2019/20;Greveskogen videregående skole;HIS1001;Historie vg2 studieforberedende utdanningsprogram;Standpunkt;4,73;208;0
2019/20;Greveskogen videregående skole;HIS1002;Historie vg3 studieforberedende utdanningsprogram;Standpunkt;4,30;253;240
2019/20;Greveskogen videregående skole;IDR3004;Breddeidrett 1;Standpunkt;5,35;23;22
2019/20;Greveskogen videregående skole;IDR3005;Breddeidrett 2;Standpunkt;4,73;44;36
2019/20;Greveskogen videregående skole;IDR3007;Friluftsliv 1;Standpunkt;-;25;12
2019/20;Greveskogen videregående skole;ISF2001;Drift og vedlikehold;Standpunkt;3,88;30;27
2019/20;Greveskogen videregående skole;ISF2002;Bruker- og driftsstøtte;Standpunkt;4,28;30;27
2019/20;Greveskogen videregående skole;ISF2003;Virksomhetsstøtte;Standpunkt;3,93;30;27
2019/20;Greveskogen videregående skole;ISF2004;Tverrfaglig eksamen IKT-servicefag;Standpunkt;4,22;27;0
2019/20;Greveskogen videregående skole;KDA2002;Kunst og visuelle virkemidler 2;Standpunkt;4,84;43;31
2019/20;Greveskogen videregående skole;KRO1004;Kroppsøving vg1;Standpunkt;4,33;243;0
2019/20;Greveskogen videregående skole;KRO1005;Kroppsøving vg2;Standpunkt;4,32;270;64
2019/20;Greveskogen videregående skole;KRO1006;Kroppsøving vg3;Standpunkt;4,73;220;182
2019/20;Greveskogen videregående skole;MAT1001;Matematikk 1P-Y;Standpunkt;4,14;98;77
2019/20;Greveskogen videregående skole;MAT1011;Matematikk 1P;Standpunkt;3,85;104;97
2019/20;Greveskogen videregående skole;MAT1013;Matematikk 1T;Standpunkt;4,91;88;74
2019/20;Greveskogen videregående skole;MAT1015;Matematikk 2P;Standpunkt;3,99;126;111
2019/20;Greveskogen videregående skole;MDD2001;Musikk, dans og drama;Standpunkt;4,17;30;30
2019/20;Greveskogen videregående skole;MDD3001;Bevegelse;Standpunkt;-;14;14
2019/20;Greveskogen videregående skole;MDD3002;Lytting;Standpunkt;4,17;16;16
2019/20;Greveskogen videregående skole;MDD3004;Musikk;Standpunkt;4,78;17;16
2019/20;Greveskogen videregående skole;MDD3005;Teaterensemble;Standpunkt;4,22;38;32
2019/20;Greveskogen videregående skole;MFG2001;Råvarer, produksjon og kvalitet;Standpunkt;-;8;7
2019/20;Greveskogen videregående skole;MFG2002;Salg og marked;Standpunkt;-;8;7
2019/20;Greveskogen videregående skole;MFG2003;Bransje, fag og miljø;Standpunkt;-;8;7
2019/20;Greveskogen videregående skole;MFG2004;Tverrfaglig eksamen matfag;Standpunkt;4,38;8;0
2019/20;Greveskogen videregående skole;MUS2001;Ergonomi og bevegelse 1;Standpunkt;3,88;19;17
2019/20;Greveskogen videregående skole;MUS2002;Ergonomi og bevegelse 2;Standpunkt;4,33;14;12
2019/20;Greveskogen videregående skole;MUS2003;Instrument, kor, samspill 1;Standpunkt;4,38;19;18
2019/20;Greveskogen videregående skole;MUS2004;Instrument, kor, samspill 2;Standpunkt;5,40;14;14
2019/20;Greveskogen videregående skole;MUS2005;Musikk i perspektiv 1;Standpunkt;-;19;18
2019/20;Greveskogen videregående skole;MUS2007;Musikk i perspektiv 2;Standpunkt;4,70;14;14
2019/20;Greveskogen videregående skole;MUS2009;Instruksjon og ledelse;Standpunkt;5,30;14;14
2019/20;Greveskogen videregående skole;MUS3001;Musikk fordypning 1;Standpunkt;4,14;19;19
2019/20;Greveskogen videregående skole;MUS3003;Musikk fordypning 2;Standpunkt;-;14;14
2019/20;Greveskogen videregående skole;MUS3004;Musikk fordypning 2, muntlig-praktisk;Standpunkt;-;6;0
2019/20;Greveskogen videregående skole;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;Standpunkt;3,69;97;73
2019/20;Greveskogen videregående skole;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;Standpunkt;4,31;186;182
2019/20;Greveskogen videregående skole;NOR1056;Grunnleggende norsk for språklige minoriteter, nivå 2, vg2 studieforberedende utdanningsprogram;Standpunkt;-;6;0
2019/20;Greveskogen videregående skole;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,39;176;0
2019/20;Greveskogen videregående skole;NOR1202;Norsk sidemål, vg1 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,97;176;0
2019/20;Greveskogen videregående skole;NOR1203;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;Standpunkt;4,57;176;0
2019/20;Greveskogen videregående skole;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;Standpunkt;3,20;98;0
2019/20;Greveskogen videregående skole;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;Standpunkt;3,79;81;64
2019/20;Greveskogen videregående skole;NOR1208;Norsk hovedmål, vg2 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,20;208;0
2019/20;Greveskogen videregående skole;NOR1209;Norsk sidemål, vg2 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,57;208;0
2019/20;Greveskogen videregående skole;NOR1210;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;Standpunkt;4,69;208;0
2019/20;Greveskogen videregående skole;NOR1211;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,67;251;244
2019/20;Greveskogen videregående skole;NOR1212;Norsk sidemål,  vg3 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,40;251;222
2019/20;Greveskogen videregående skole;NOR1213;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;Standpunkt;4,30;251;243
2019/20;Greveskogen videregående skole;NOR1219;Norsk, vg2 yrkesfaglige utdanningsprogram, muntlig;Standpunkt;-;2;0
2019/20;Greveskogen videregående skole;NOR1405;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, skriftlig;Standpunkt;-;6;6
2019/20;Greveskogen videregående skole;NOR1406;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, muntlig;Standpunkt;-;6;6
2019/20;Greveskogen videregående skole;PSP5053;Spansk nivå III;Standpunkt;-;8;7
2019/20;Greveskogen videregående skole;PSP5054;Spansk nivå III, muntlig;Standpunkt;-;8;7
2019/20;Greveskogen videregående skole;PSP5071;Tysk nivå III;Standpunkt;5,00;14;11
2019/20;Greveskogen videregående skole;PSP5072;Tysk nivå III, muntlig;Standpunkt;4,65;14;11
2019/20;Greveskogen videregående skole;PSP5502;Albansk nivå II;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;PSP5503;Albansk nivå II, muntlig;Standpunkt;-;3;0
2019/20;Greveskogen videregående skole;PSP5506;Arabisk nivå I;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;PSP5507;Arabisk nivå I, muntlig;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;PSP5508;Arabisk nivå II;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;PSP5509;Arabisk nivå II, muntlig;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;PSP5510;Arabisk nivå III;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;PSP5511;Arabisk nivå III, muntlig;Standpunkt;-;1;0
2019/20;Greveskogen videregående skole;REA3001;Biologi 1;Standpunkt;3,89;38;25
2019/20;Greveskogen videregående skole;REA3002;Biologi 2;Standpunkt;4,44;18;16
2019/20;Greveskogen videregående skole;REA3004;Fysikk 1;Standpunkt;4,83;78;57
2019/20;Greveskogen videregående skole;REA3005;Fysikk 2;Standpunkt;4,09;37;33
2019/20;Greveskogen videregående skole;REA3006;Fysikk 2, muntlig-praktisk;Standpunkt;-;5;0
2019/20;Greveskogen videregående skole;REA3011;Kjemi 1;Standpunkt;5,38;62;45
2019/20;Greveskogen videregående skole;REA3012;Kjemi 2;Standpunkt;4,61;28;27
2019/20;Greveskogen videregående skole;REA3014;Informasjonsteknologi 1;Standpunkt;4,50;21;16
2019/20;Greveskogen videregående skole;REA3015;Informasjonsteknologi 2;Standpunkt;-;17;14
2019/20;Greveskogen videregående skole;REA3018;Teknologi og forskningslære 1;Standpunkt;4,00;27;26
2019/20;Greveskogen videregående skole;REA3022;Matematikk R1;Standpunkt;4,84;61;41
2019/20;Greveskogen videregående skole;REA3024;Matematikk R2;Standpunkt;4,52;51;47
2019/20;Greveskogen videregående skole;REA3025;Matematikk R2, muntlig;Standpunkt;-;6;0
2019/20;Greveskogen videregående skole;REA3026;Matematikk S1;Standpunkt;4,90;35;24
2019/20;Greveskogen videregående skole;REA3028;Matematikk S2;Standpunkt;4,47;30;18
2019/20;Greveskogen videregående skole;REA3034;Programmering og modellering X;Standpunkt;5,40;15;13
2019/20;Greveskogen videregående skole;REL1001;Religion og etikk;Standpunkt;4,33;246;231
2019/20;Greveskogen videregående skole;RFG2001;Råvarer og produksjon;Standpunkt;4,29;15;14
2019/20;Greveskogen videregående skole;RFG2002;Kosthold, ernæring og helse;Standpunkt;-;15;14
2019/20;Greveskogen videregående skole;RFG2003;Servering, bransje og miljø;Standpunkt;-;15;14
2019/20;Greveskogen videregående skole;RFG2004;Tverrfaglig eksamen kokk- og servitørfag;Standpunkt;-;14;0
2019/20;Greveskogen videregående skole;RMF1001;Råstoff og produksjon;Standpunkt;3,83;25;22
2019/20;Greveskogen videregående skole;RMF1002;Kosthold og livsstil;Standpunkt;4,92;25;22
2019/20;Greveskogen videregående skole;RMF1003;Bransje, fag og miljø;Standpunkt;3,35;25;23
2019/20;Greveskogen videregående skole;SAF1001;Samfunnsfag;Standpunkt;4,26;257;236
2019/20;Greveskogen videregående skole;SAM3001;Historie og filosofi 1;Standpunkt;-;4;0
2019/20;Greveskogen videregående skole;SAM3005;Markedsføring og ledelse 1;Standpunkt;4,23;51;41
2019/20;Greveskogen videregående skole;SAM3006;Markedsføring og ledelse 2;Standpunkt;3,69;23;21
2019/20;Greveskogen videregående skole;SAM3007;Markedsføring og ledelse 2, muntlig;Standpunkt;4,00;7;0
2019/20;Greveskogen videregående skole;SAM3008;Medie- og informasjonskunnskap 1;Standpunkt;3,68;25;19
2019/20;Greveskogen videregående skole;SAM3016;Sosialkunnskap;Standpunkt;4,21;80;74
2019/20;Greveskogen videregående skole;SAM3017;Sosialkunnskap, muntlig;Standpunkt;5,61;7;0
2019/20;Greveskogen videregående skole;SAM3019;Sosiologi og sosialantropologi;Standpunkt;4,50;85;65
2019/20;Greveskogen videregående skole;SAM3020;Politikk og menneskerettigheter;Standpunkt;5,13;14;9
2019/20;Greveskogen videregående skole;SAM3022;Rettslære 1;Standpunkt;3,92;60;40
2019/20;Greveskogen videregående skole;SAM3023;Rettslære 2;Standpunkt;4,50;47;44
2019/20;Greveskogen videregående skole;SAM3024;Rettslære 2, muntlig;Standpunkt;3,33;6;0
2019/20;Greveskogen videregående skole;SAM3025;Samfunnsøkonomi 1;Standpunkt;4,75;26;23
2019/20;Greveskogen videregående skole;SAM3026;Samfunnsøkonomi 2;Standpunkt;4,16;19;16
2019/20;Greveskogen videregående skole;SAM3027;Samfunnsøkonomi 2, muntlig;Standpunkt;2,89;6;0
2019/20;Greveskogen videregående skole;SAM3028;Entreprenørskap og bedriftsutvikling 1;Standpunkt;3,87;26;23
2019/20;Greveskogen videregående skole;SAM3029;Entreprenørskap og bedriftsutvikling 2;Standpunkt;-;30;28
2019/20;Greveskogen videregående skole;SAM3030;Entreprenørskap og bedriftsutvikling 2, muntlig-praktisk;Standpunkt;3,33;6;0
2019/20;Greveskogen videregående skole;SAM3033;Økonomistyring;Standpunkt;4,02;24;16
2019/20;Greveskogen videregående skole;SAM3037;Psykologi 1;Standpunkt;3,78;64;51
2019/20;Greveskogen videregående skole;SAM3038;Psykologi 2;Standpunkt;4,27;73;72
2019/20;Greveskogen videregående skole;SPR3008;Internasjonal engelsk, skriftlig;Standpunkt;3,83;45;29
2019/20;Greveskogen videregående skole;SPR3009;Internasjonal engelsk, muntlig;Standpunkt;4,68;45;29
2019/20;Greveskogen videregående skole;SPR3010;Samfunnsfaglig engelsk, skriftlig;Standpunkt;4,49;22;18
2019/20;Greveskogen videregående skole;SPR3011;Samfunnsfaglig engelsk, muntlig;Standpunkt;-;22;18
2019/20;Greveskogen videregående skole;SSA1005;Administrasjon og økonomi;Standpunkt;3,08;73;58
2019/20;Greveskogen videregående skole;SSA1006;Markedsføring og salg;Standpunkt;3,38;73;55
2019/20;Greveskogen videregående skole;SSA1007;Sikkerhet og transport;Standpunkt;3,59;73;59
2019/20;Greveskogen videregående skole;SSS2001;Markedsføring og salg;Standpunkt;3,92;32;25
2019/20;Greveskogen videregående skole;SSS2002;Sikkerhet;Standpunkt;4,09;32;26
2019/20;Greveskogen videregående skole;SSS2003;Økonomi og administrasjon;Standpunkt;3,28;32;26
2019/20;Greveskogen videregående skole;SSS2004;Tverrfaglig eksamen salg, service og sikkerhet;Standpunkt;2,71;29;0
2019/20;Greveskogen videregående skole;YFF4106;Yrkesfaglig fordypning vg1;Standpunkt;3,96;103;75
2019/20;Greveskogen videregående skole;YFF4204;Yrkesfaglig fordypning vg2;Standpunkt;-;2;2
2019/20;Greveskogen videregående skole;YFF4207;Yrkesfaglig fordypning vg2;Standpunkt;4,00;12;0
2019/20;Greveskogen videregående skole;YFF4209;Yrkesfaglig fordypning vg2;Standpunkt;3,63;84;70
2019/20;Greveskogen videregående skole;YFO2002;Yrkesfaglig opphenting;Standpunkt;5,33;16;3
2019/20;Holmestrand videregående skole;BUA2001;Helsefremmende arbeid;Standpunkt;4,00;13;12
2019/20;Holmestrand videregående skole;BUA2002;Kommunikasjon og samhandling;Standpunkt;4,00;13;12
2019/20;Holmestrand videregående skole;BUA2003;Yrkesutøvelse;Standpunkt;3,00;13;12
2019/20;Holmestrand videregående skole;BUA2004;Tverrfaglig eksamen barne- og ungdomsarbeiderfag;Standpunkt;5,63;12;0
2019/20;Holmestrand videregående skole;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;Standpunkt;3,95;42;0
2019/20;Holmestrand videregående skole;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;Standpunkt;4,70;55;54
2019/20;Holmestrand videregående skole;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;Standpunkt;3,88;17;15
2019/20;Holmestrand videregående skole;FSP5022;Fransk II, 1. år;Standpunkt;5,80;7;0
2019/20;Holmestrand videregående skole;FSP5094;Spansk II, 1. år;Standpunkt;4,80;13;0
2019/20;Holmestrand videregående skole;FSP5095;Spansk II;Standpunkt;-;13;12
2019/20;Holmestrand videregående skole;FSP5099;Spansk II, muntlig;Standpunkt;-;1;0
2019/20;Holmestrand videregående skole;FSP5118;Tysk I, 1. år;Standpunkt;-;4;0
2019/20;Holmestrand videregående skole;FSP5119;Tysk I;Standpunkt;-;16;9
2019/20;Holmestrand videregående skole;FSP5121;Tysk II, 1. år;Standpunkt;-;14;0
2019/20;Holmestrand videregående skole;FSP5122;Tysk II;Standpunkt;5,80;13;13
2019/20;Holmestrand videregående skole;FSP5123;Tysk I+II, 1. år;Standpunkt;4,80;15;0
2019/20;Holmestrand videregående skole;FSP5124;Tysk I+II, 2. år;Standpunkt;-;7;0
2019/20;Holmestrand videregående skole;FSP5125;Tysk I+II;Standpunkt;-;10;5
2019/20;Holmestrand videregående skole;GEO1001;Geografi;Standpunkt;4,15;53;51
2019/20;Holmestrand videregående skole;HIS1001;Historie vg2 studieforberedende utdanningsprogram;Standpunkt;4,60;49;0
2019/20;Holmestrand videregående skole;HIS1002;Historie vg3 studieforberedende utdanningsprogram;Standpunkt;4,57;40;37
2019/20;Holmestrand videregående skole;HIS1003;Historie vg3 påbygging til generell studiekompetanse;Standpunkt;-;20;17
2019/20;Holmestrand videregående skole;HSF1001;Helsefremmende arbeid;Standpunkt;4,58;18;17
2019/20;Holmestrand videregående skole;HSF1002;Kommunikasjon og samhandling;Standpunkt;4,00;18;17
2019/20;Holmestrand videregående skole;HSF1003;Yrkesutøvelse;Standpunkt;4,21;18;17
2019/20;Holmestrand videregående skole;IDR3001;Toppidrett 1;Standpunkt;3,55;30;22
2019/20;Holmestrand videregående skole;KRO1004;Kroppsøving vg1;Standpunkt;4,30;96;0
2019/20;Holmestrand videregående skole;KRO1005;Kroppsøving vg2;Standpunkt;4,71;67;16
2019/20;Holmestrand videregående skole;KRO1006;Kroppsøving vg3;Standpunkt;4,98;59;53
2019/20;Holmestrand videregående skole;MAT1001;Matematikk 1P-Y;Standpunkt;2,50;43;38
2019/20;Holmestrand videregående skole;MAT1005;Matematikk 2P-Y;Standpunkt;2,63;19;17
2019/20;Holmestrand videregående skole;MAT1011;Matematikk 1P;Standpunkt;3,64;42;37
2019/20;Holmestrand videregående skole;MAT1013;Matematikk 1T;Standpunkt;4,90;24;16
2019/20;Holmestrand videregående skole;MAT1015;Matematikk 2P;Standpunkt;4,67;29;29
2019/20;Holmestrand videregående skole;MOK2001;Mediesamfunnet 1;Standpunkt;5,05;11;9
2019/20;Holmestrand videregående skole;MOK2002;Mediesamfunnet 2;Standpunkt;-;7;7
2019/20;Holmestrand videregående skole;MOK2003;Mediesamfunnet 3;Standpunkt;4,40;13;10
2019/20;Holmestrand videregående skole;MOK2005;Medieuttrykk 1;Standpunkt;4,60;11;9
2019/20;Holmestrand videregående skole;MOK2006;Medieuttrykk 2;Standpunkt;5,71;7;7
2019/20;Holmestrand videregående skole;MOK2007;Medieuttrykk 3;Standpunkt;5,20;13;10
2019/20;Holmestrand videregående skole;MOK3002;Bilde;Standpunkt;-;5;5
2019/20;Holmestrand videregående skole;MOK3006;Mediespesialisering;Standpunkt;3,40;11;4
2019/20;Holmestrand videregående skole;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;Standpunkt;3,71;43;35
2019/20;Holmestrand videregående skole;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;Standpunkt;3,93;54;53
2019/20;Holmestrand videregående skole;NAT1003;Naturfag, vg3 påbygging til generell studiekompetanse;Standpunkt;3,32;19;16
2019/20;Holmestrand videregående skole;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,76;55;0
2019/20;Holmestrand videregående skole;NOR1202;Norsk sidemål, vg1 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,72;54;0
2019/20;Holmestrand videregående skole;NOR1203;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;Standpunkt;3,35;54;0
2019/20;Holmestrand videregående skole;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;Standpunkt;3,65;43;0
2019/20;Holmestrand videregående skole;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;Standpunkt;4,50;17;15
2019/20;Holmestrand videregående skole;NOR1208;Norsk hovedmål, vg2 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,43;49;0
2019/20;Holmestrand videregående skole;NOR1209;Norsk sidemål, vg2 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,42;49;0
2019/20;Holmestrand videregående skole;NOR1210;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;Standpunkt;4,97;49;0
2019/20;Holmestrand videregående skole;NOR1211;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Standpunkt;3,56;40;37
2019/20;Holmestrand videregående skole;NOR1212;Norsk sidemål,  vg3 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,16;40;36
2019/20;Holmestrand videregående skole;NOR1213;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;Standpunkt;4,30;40;37
2019/20;Holmestrand videregående skole;NOR1231;Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig;Standpunkt;3,06;20;15
2019/20;Holmestrand videregående skole;NOR1232;Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig;Standpunkt;3,47;20;10
