Skoleår;Fagkode;Fag;Karaktertype;Karaktersnitt årsslutt;Antall elever;Antall elever med skriftlig eksamenskarakter >0
2018/19;NOR1213;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;SkriftligEksamen;3,53;1 661;0
2018/19;NOR1219;Norsk, vg2 yrkesfaglige utdanningsprogram, muntlig;SkriftligEksamen;-;25;0
2018/19;NOR1231;Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig;SkriftligEksamen;3,12;351;316
2018/19;NOR1232;Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig;SkriftligEksamen;3,03;352;150
2018/19;NOR1233;Norsk, vg3 påbygging til generell studiekompetanse, muntlig;SkriftligEksamen;2,85;351;0
2018/19;NOR1401;Norsk for elever i vgo med kort botid i Norge, vg1 studieforberedende utdanningsprogram, skriftlig;SkriftligEksamen;-;23;0
2018/19;NOR1402;Norsk for elever i vgo med kort botid i Norge, vg1 studieforberedende utdanningsprogram, muntlig;SkriftligEksamen;-;17;0
2018/19;NOR1403;Norsk for elever i vgo med kort botid i Norge, vg2 studieforberedende utdanningsprogram, skriftlig;SkriftligEksamen;2,00;17;0
2018/19;NOR1404;Norsk for elever i vgo med kort botid i Norge, vg2 studieforberedende utdanningsprogram, muntlig;SkriftligEksamen;2,50;13;0
2018/19;NOR1405;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, skriftlig;SkriftligEksamen;3,00;26;26
2018/19;NOR1406;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, muntlig;SkriftligEksamen;3,33;26;0
2018/19;NOR1407;Norsk for elever i vgo med kort botid i Norge, vg1 yrkesfaglige utdanningsprogram;SkriftligEksamen;4,00;83;0
2018/19;NOR1408;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram;SkriftligEksamen;1,00;59;7
2018/19;NOR1409;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram, muntlig;SkriftligEksamen;-;2;0
2018/19;NOR1410;Norsk for elever i vgo med kort botid i Norge, vg3 påbygging til generell studiekompetanse, skriftlig;SkriftligEksamen;5,00;6;6
2018/19;NOR1411;Norsk for elever i vgo med kort botid i Norge, vg3 påbygging til generell studiekompetanse, muntlig;SkriftligEksamen;2,00;6;0
2018/19;PIN2001;Produksjon;SkriftligEksamen;-;51;0
2018/19;PIN2002;Reparasjon og vedlikehold;SkriftligEksamen;1,00;51;0
2018/19;PIN2003;Dokumentasjon og kvalitet;SkriftligEksamen;3,50;51;0
2018/19;PIN2004;Tverrfaglig eksamen industriteknologi;SkriftligEksamen;-;36;0
2018/19;PLA3001;Platearbeiderfaget;SkriftligEksamen;-;2;0
2018/19;PRO3001;Produksjonselektronikerfaget;SkriftligEksamen;-;1;0
2018/19;PSP5013;Fransk nivå I;SkriftligEksamen;-;1;0
2018/19;PSP5014;Fransk nivå I, muntlig;SkriftligEksamen;-;1;0
2018/19;PSP5015;Fransk nivå II;SkriftligEksamen;-;2;0
2018/19;PSP5016;Fransk nivå II, muntlig;SkriftligEksamen;-;2;0
2018/19;PSP5017;Fransk nivå III;SkriftligEksamen;4,00;5;3
2018/19;PSP5018;Fransk nivå III, muntlig;SkriftligEksamen;4,17;9;0
2018/19;PSP5053;Spansk nivå III;SkriftligEksamen;4,00;22;7
2018/19;PSP5054;Spansk nivå III, muntlig;SkriftligEksamen;5,00;22;0
2018/19;PSP5055;Tegnspråk, nivå I;SkriftligEksamen;3,83;49;1
2018/19;PSP5056;Tegnspråk nivå I, muntlig;SkriftligEksamen;-;46;0
2018/19;PSP5068;Tysk nivå I, muntlig;SkriftligEksamen;-;1;0
2018/19;PSP5069;Tysk nivå II;SkriftligEksamen;-;4;2
2018/19;PSP5070;Tysk nivå II, muntlig;SkriftligEksamen;5,00;2;0
2018/19;PSP5071;Tysk nivå III;SkriftligEksamen;3,00;21;13
2018/19;PSP5072;Tysk nivå III, muntlig;SkriftligEksamen;4,78;20;0
2018/19;PSP5502;Albansk nivå II;SkriftligEksamen;3,33;1;0
2018/19;PSP5514;Bosnisk nivå II;SkriftligEksamen;-;2;0
2018/19;PSP5515;Bosnisk nivå II, muntlig;SkriftligEksamen;-;1;0
2018/19;PSP5542;Persisk nivå I;SkriftligEksamen;-;1;0
2018/19;PSP5543;Persisk nivå I, muntlig;SkriftligEksamen;-;1;0
2018/19;PSP5544;Persisk nivå II;SkriftligEksamen;-;1;0
2018/19;PSP5545;Persisk nivå II, muntlig;SkriftligEksamen;-;1;0
2018/19;PSP5574;Urdu nivå II;SkriftligEksamen;-;1;0
2018/19;PSP5575;Urdu nivå II, muntlig;SkriftligEksamen;-;1;0
2018/19;PSP5640;Pashto nivå II;SkriftligEksamen;-;1;0
2018/19;PSP5641;Pashto nivå II, muntlig;SkriftligEksamen;-;1;0
2018/19;PSP5753;Litauisk nivå II, muntlig;SkriftligEksamen;-;1;0
2018/19;REA3001;Biologi 1;SkriftligEksamen;3,05;288;0
2018/19;REA3002;Biologi 2;SkriftligEksamen;3,65;175;67
2018/19;REA3003;Biologi 2, muntlig-praktisk;SkriftligEksamen;4,13;46;0
2018/19;REA3004;Fysikk 1;SkriftligEksamen;3,50;366;0
2018/19;REA3005;Fysikk 2;SkriftligEksamen;3,56;155;72
2018/19;REA3006;Fysikk 2, muntlig-praktisk;SkriftligEksamen;3,86;34;0
2018/19;REA3008;Geofag 1;SkriftligEksamen;3,67;49;0
2018/19;REA3009;Geofag 2;SkriftligEksamen;3,50;27;13
2018/19;REA3010;Geofag 2, muntlig-praktisk;SkriftligEksamen;3,50;6;0
2018/19;REA3011;Kjemi 1;SkriftligEksamen;4,00;358;0
2018/19;REA3012;Kjemi 2;SkriftligEksamen;3,56;151;89
2018/19;REA3013;Kjemi 2, muntlig-praktisk;SkriftligEksamen;3,95;28;0
2018/19;REA3014;Informasjonsteknologi 1;SkriftligEksamen;3,65;106;0
2018/19;REA3015;Informasjonsteknologi 2;SkriftligEksamen;3,06;77;33
2018/19;REA3016;Informasjonsteknologi 2, muntlig-praktisk;SkriftligEksamen;-;6;0
2018/19;REA3018;Teknologi og forskningslære 1;SkriftligEksamen;4,00;95;0
2018/19;REA3019;Teknologi og forskningslære 2;SkriftligEksamen;4,42;79;16
2018/19;REA3022;Matematikk R1;SkriftligEksamen;3,89;315;98
2018/19;REA3023;Matematikk R1, muntlig;SkriftligEksamen;-;7;0
2018/19;REA3024;Matematikk R2;SkriftligEksamen;4,01;225;143
2018/19;REA3025;Matematikk R2, muntlig;SkriftligEksamen;4,44;39;0
2018/19;REA3026;Matematikk S1;SkriftligEksamen;3,24;393;108
2018/19;REA3027;Matematikk S1, muntlig;SkriftligEksamen;-;7;0
2018/19;REA3028;Matematikk S2;SkriftligEksamen;3,70;236;126
2018/19;REA3029;Matematikk S2, muntlig;SkriftligEksamen;3,79;43;0
2018/19;REA3034;Programmering og modellering X;SkriftligEksamen;4,33;28;0
2018/19;REL1001;Religion og etikk;SkriftligEksamen;3,55;1 594;0
2018/19;RFG2001;Råvarer og produksjon;SkriftligEksamen;-;31;0
2018/19;RFG2002;Kosthold, ernæring og helse;SkriftligEksamen;-;31;0
2018/19;RFG2003;Servering, bransje og miljø;SkriftligEksamen;-;31;0
2018/19;RFG2004;Tverrfaglig eksamen kokk- og servitørfag;SkriftligEksamen;-;28;0
2018/19;RLV2001;Vertskapsrollen;SkriftligEksamen;1,00;36;0
2018/19;RLV2002;Salg og markedsføring;SkriftligEksamen;2,33;36;0
2018/19;RLV2003;Etablering og drift;SkriftligEksamen;2,50;36;0
2018/19;RLV2004;Tverrfaglig eksamen reiseliv;SkriftligEksamen;3,50;33;0
2018/19;RMF1001;Råstoff og produksjon;SkriftligEksamen;-;76;0
2018/19;RMF1002;Kosthold og livsstil;SkriftligEksamen;-;76;0
2018/19;RMF1003;Bransje, fag og miljø;SkriftligEksamen;-;76;0
2018/19;SAF1001;Samfunnsfag;SkriftligEksamen;3,10;2 672;0
2018/19;SAM3001;Historie og filosofi 1;SkriftligEksamen;3,78;31;0
2018/19;SAM3002;Historie og filosofi 2;SkriftligEksamen;3,59;122;52
2018/19;SAM3003;Historie og filosofi 2, muntlig;SkriftligEksamen;-;13;0
2018/19;SAM3005;Markedsføring og ledelse 1;SkriftligEksamen;2,54;248;0
2018/19;SAM3006;Markedsføring og ledelse 2;SkriftligEksamen;3,51;154;85
2018/19;SAM3007;Markedsføring og ledelse 2, muntlig;SkriftligEksamen;3,08;37;0
2018/19;SAM3008;Medie- og informasjonskunnskap 1;SkriftligEksamen;4,50;10;0
2018/19;SAM3016;Sosialkunnskap;SkriftligEksamen;3,71;400;226
2018/19;SAM3017;Sosialkunnskap, muntlig;SkriftligEksamen;3,50;43;0
2018/19;SAM3018;Samfunnsgeografi;SkriftligEksamen;4,33;22;0
2018/19;SAM3019;Sosiologi og sosialantropologi;SkriftligEksamen;3,32;426;0
2018/19;SAM3020;Politikk og menneskerettigheter;SkriftligEksamen;3,58;153;81
2018/19;SAM3021;Politikk og menneskerettigheter, muntlig;SkriftligEksamen;-;12;0
2018/19;SAM3022;Rettslære 1;SkriftligEksamen;3,09;420;0
2018/19;SAM3023;Rettslære 2;SkriftligEksamen;3,86;249;157
2018/19;SAM3024;Rettslære 2, muntlig;SkriftligEksamen;2,83;17;0
2018/19;SAM3025;Samfunnsøkonomi 1;SkriftligEksamen;3,33;97;0
2018/19;SAM3026;Samfunnsøkonomi 2;SkriftligEksamen;3,28;87;54
2018/19;SAM3027;Samfunnsøkonomi 2, muntlig;SkriftligEksamen;5,00;20;0
2018/19;SAM3028;Entreprenørskap og bedriftsutvikling 1;SkriftligEksamen;2,20;175;0
2018/19;SAM3029;Entreprenørskap og bedriftsutvikling 2;SkriftligEksamen;3,33;94;41
2018/19;SAM3030;Entreprenørskap og bedriftsutvikling 2, muntlig-praktisk;SkriftligEksamen;3,17;26;0
2018/19;SAM3033;Økonomistyring;SkriftligEksamen;3,33;76;14
2018/19;SAM3035;Økonomi og ledelse;SkriftligEksamen;3,19;76;35
2018/19;SAM3036;Økonomi og ledelse, muntlig-praktisk;SkriftligEksamen;2,33;11;0
2018/19;SAM3037;Psykologi 1;SkriftligEksamen;3,12;524;0
2018/19;SAM3038;Psykologi 2;SkriftligEksamen;3,64;437;269
2018/19;SAM3039;Psykologi 2, muntlig;SkriftligEksamen;3,33;74;0
2018/19;SLG3001;Salgsfaget;SkriftligEksamen;-;2;0
2018/19;SPR3008;Internasjonal engelsk, skriftlig;SkriftligEksamen;3,40;367;103
2018/19;SPR3009;Internasjonal engelsk, muntlig;SkriftligEksamen;3,29;357;0
2018/19;SPR3010;Samfunnsfaglig engelsk, skriftlig;SkriftligEksamen;3,40;219;95
2018/19;SPR3011;Samfunnsfaglig engelsk, muntlig;SkriftligEksamen;3,93;215;0
2018/19;SPR3012;Engelskspråklig litteratur og kultur, skriftlig;SkriftligEksamen;2,92;34;25
2018/19;SPR3013;Engelskspråklig litteratur og kultur, muntlig;SkriftligEksamen;4,19;34;0
2018/19;SPR3014;Kommunikasjon og kultur 1;SkriftligEksamen;2,00;16;0
2018/19;SPR3019;Reiseliv og språk 1;SkriftligEksamen;2,75;46;0
2018/19;SPR3020;Reiseliv og språk 2;SkriftligEksamen;3,83;22;9
2018/19;SPR3021;Reiseliv og språk 2, muntlig;SkriftligEksamen;4,00;7;0
2018/19;SSA1005;Administrasjon og økonomi;SkriftligEksamen;3,00;193;1
2018/19;SSA1006;Markedsføring og salg;SkriftligEksamen;3,50;192;0
2018/19;SSA1007;Sikkerhet og transport;SkriftligEksamen;1,50;192;0
2018/19;SSS2001;Markedsføring og salg;SkriftligEksamen;-;86;0
2018/19;SSS2002;Sikkerhet;SkriftligEksamen;3,33;86;0
2018/19;SSS2003;Økonomi og administrasjon;SkriftligEksamen;2,33;86;0
2018/19;SSS2004;Tverrfaglig eksamen salg, service og sikkerhet;SkriftligEksamen;3,00;83;0
2018/19;TAN3001;Helsefremmende arbeid;SkriftligEksamen;-;8;0
2018/19;TAN3002;Kommunikasjon og samhandling;SkriftligEksamen;-;8;0
2018/19;TAN3003;Yrkesutøvelse;SkriftligEksamen;-;8;0
2018/19;TAN3004;Tverrfaglig eksamen, tannhelsesekretær;SkriftligEksamen;-;8;0
2018/19;TIP1001;Produksjon;SkriftligEksamen;4,00;196;0
2018/19;TIP1002;Tekniske tjenester;SkriftligEksamen;2,00;196;0
2018/19;TIP1003;Dokumentasjon og kvalitet;SkriftligEksamen;1,50;196;0
2018/19;TMF3001;Tømrerfaget;SkriftligEksamen;-;4;0
2018/19;TRL2001;Bransjeteknikk;SkriftligEksamen;2,00;26;0
2018/19;TRL2002;Transport og logistikk;SkriftligEksamen;3,67;26;0
2018/19;TRL2003;Tverrfaglig eksamen transport og logistikk;SkriftligEksamen;3,00;26;0
2018/19;TRT2001;Produksjon;SkriftligEksamen;-;17;0
2018/19;TRT2002;Bransjelære;SkriftligEksamen;-;17;0
2018/19;TRT2003;Tverrfaglig eksamen treteknikk;SkriftligEksamen;-;15;0
2018/19;UPF9405;Uspesifisert programfag;SkriftligEksamen;-;1;0
2018/19;YFF4101;Yrkesfaglig fordypning vg1;SkriftligEksamen;4,50;109;0
2018/19;YFF4102;Yrkesfaglig fordypning vg1;SkriftligEksamen;-;30;0
2018/19;YFF4103;Yrkesfaglig fordypning vg1;SkriftligEksamen;-;1;0
2018/19;YFF4104;Yrkesfaglig fordypning vg1;SkriftligEksamen;-;19;0
2018/19;YFF4105;Yrkesfaglig fordypning vg1;SkriftligEksamen;3,25;21;0
2018/19;YFF4106;Yrkesfaglig fordypning vg1;SkriftligEksamen;3,55;1 272;0
2018/19;YFF4202;Yrkesfaglig fordypning vg2;SkriftligEksamen;4,00;47;0
2018/19;YFF4204;Yrkesfaglig fordypning vg2;SkriftligEksamen;2,50;17;0
2018/19;YFF4205;Yrkesfaglig fordypning vg2;SkriftligEksamen;-;10;0
2018/19;YFF4207;Yrkesfaglig fordypning vg2;SkriftligEksamen;-;20;0
2018/19;YFF4209;Yrkesfaglig fordypning vg2;SkriftligEksamen;3,16;1 148;0
2018/19;YFF4212;Yrkesfaglig fordypning vg2;SkriftligEksamen;-;14;0
2018/19;YFO2002;Yrkesfaglig opphenting;SkriftligEksamen;-;3;0
2018/19;YRK3002;Yrkessjåførforskriften, § 16;SkriftligEksamen;-;1;0
2019/20;AMB2001;Grunnleggende helsefag;SkriftligEksamen;-;13;0
2019/20;AMB2002;Ambulansemedisin;SkriftligEksamen;-;13;0
2019/20;AMB2003;Ambulanseoperative emner;SkriftligEksamen;-;13;0
2019/20;AMB2004;Tverrfaglig eksamen ambulansefag;SkriftligEksamen;-;12;0
2019/20;AMK2001;Feilsøking og reparasjon;SkriftligEksamen;-;15;0
2019/20;AMK2002;Dokumentasjon og kvalitet;SkriftligEksamen;-;14;0
2019/20;AMK2003;Tverrfaglig eksamen arbeidsmaskiner;SkriftligEksamen;-;13;0
2019/20;ANL2001;Produksjon;SkriftligEksamen;-;42;0
2019/20;ANL2002;Bransjelære;SkriftligEksamen;-;42;0
2019/20;ANL2003;Tverrfaglig eksamen anleggsteknikk;SkriftligEksamen;-;40;0
2019/20;APO3001;Helsefremmende arbeid;SkriftligEksamen;-;10;0
2019/20;APO3002;Kommunikasjon og samhandling;SkriftligEksamen;-;10;0
2019/20;APO3003;Yrkesutøvelse;SkriftligEksamen;-;10;0
2019/20;APO3004;Tverrfaglig eksamen, apotekteknikk;SkriftligEksamen;-;10;0
2019/20;AUT2001;Automatiseringssystemer;SkriftligEksamen;-;26;0
2019/20;AUT2002;Elenergisystemer;SkriftligEksamen;-;26;0
2019/20;AUT2003;Tverrfaglig eksamen i automatisering;SkriftligEksamen;-;25;0
2019/20;AUT3001;Automatiseringssystemer;SkriftligEksamen;2,67;11;0
2019/20;AUT3002;Mekanisk arbeid;SkriftligEksamen;3,50;11;0
2019/20;AUT3003;Elenergisystemer;SkriftligEksamen;3,00;11;0
2019/20;AUT4002;Tverrfaglig eksamen, automatiseringsfaget;SkriftligEksamen;2,50;11;11
2019/20;BAT1001;Produksjon;SkriftligEksamen;-;209;0
2019/20;BAT1002;Tegning og bransjelære;SkriftligEksamen;-;209;0
2019/20;BLK2001;Karosseri- og lakkteknikk;SkriftligEksamen;-;9;0
2019/20;BLK2002;Dokumentasjon og kvalitet;SkriftligEksamen;-;9;0
2019/20;BLK2003;Tverrfaglig eksamen bilskade, lakk og karosseri;SkriftligEksamen;-;7;0
2019/20;BMK3001;Bilfaget, lette kjøretøy;SkriftligEksamen;-;1;0
2019/20;BUA2001;Helsefremmende arbeid;SkriftligEksamen;-;153;0
2019/20;BUA2002;Kommunikasjon og samhandling;SkriftligEksamen;-;154;0
2019/20;BUA2003;Yrkesutøvelse;SkriftligEksamen;-;153;0
2019/20;BUA2004;Tverrfaglig eksamen barne- og ungdomsarbeiderfag;SkriftligEksamen;2,00;143;0
2019/20;BYG2001;Produksjon;SkriftligEksamen;-;89;0
2019/20;BYG2002;Bransjelære;SkriftligEksamen;-;89;0
2019/20;BYG2003;Tverrfaglig eksamen byggteknikk;SkriftligEksamen;-;85;0
2019/20;DAN2001;Grunntrening i dans 1;SkriftligEksamen;-;11;0
2019/20;DAN2002;Grunntrening i dans 2;SkriftligEksamen;-;6;0
2019/20;DAN2003;Scenisk dans 1;SkriftligEksamen;-;11;0
2019/20;DAN2004;Scenisk dans 2;SkriftligEksamen;-;6;0
2019/20;DAN2005;Scenisk dans 3;SkriftligEksamen;-;6;0
2019/20;DAN2006;Dans i perspektiv 1;SkriftligEksamen;-;11;0
2019/20;DAN2008;Dans i perspektiv 2;SkriftligEksamen;-;6;0
2019/20;DAN3001;Scenisk dans fordypning 1;SkriftligEksamen;-;11;0
2019/20;DAN3002;Scenisk dans fordypning 2;SkriftligEksamen;-;6;0
2019/20;DAT3001;System og infrastruktur;SkriftligEksamen;-;5;0
2019/20;DAT3002;Apparat og utstyr;SkriftligEksamen;4,00;5;0
2019/20;DAT4002;Dataelektronikerfaget;SkriftligEksamen;3,00;4;4
2019/20;DEL2001;Data- og elektronikksystemer;SkriftligEksamen;-;18;0
2019/20;DEL2002;Elektronisk infrastruktur;SkriftligEksamen;-;18;0
2019/20;DEL2003;Tverrfaglig eksamen i data og elektronikk;SkriftligEksamen;-;17;0
2019/20;DHV1001;Produksjon;SkriftligEksamen;-;71;0
2019/20;DHV1002;Kvalitet og dokumentasjon;SkriftligEksamen;-;71;0
2019/20;DHV1004;Tverrfaglig eksamen, design og håndverk, privatister;SkriftligEksamen;-;1;0
2019/20;DRA2001;Teater og bevegelse 1;SkriftligEksamen;-;9;0
2019/20;DRA2002;Teater og bevegelse 2;SkriftligEksamen;-;13;0
2019/20;DRA2003;Teaterproduksjon 1;SkriftligEksamen;-;9;0
2019/20;DRA2004;Teaterproduksjon 2;SkriftligEksamen;-;13;0
2019/20;DRA2005;Teater i perspektiv 1;SkriftligEksamen;-;9;0
2019/20;DRA2007;Teater i perspektiv 2;SkriftligEksamen;-;13;0
2019/20;DRA2009;Drama og samfunn;SkriftligEksamen;-;13;0
2019/20;DRA3001;Teaterproduksjon fordypning 1;SkriftligEksamen;-;21;0
2019/20;DRA3002;Teaterproduksjon fordypning 2;SkriftligEksamen;-;10;0
2019/20;DTE2001;Produksjon og materialer;SkriftligEksamen;-;16;0
2019/20;DTE2002;Design og produktutvikling;SkriftligEksamen;-;16;0
2019/20;DTE2003;Tverrfaglig eksamen design og tekstil;SkriftligEksamen;-;14;0
2019/20;ELE1001;Data- og elektronikksystemer;SkriftligEksamen;-;186;0
2019/20;ELE1002;Elenergisystemer;SkriftligEksamen;-;186;0
2019/20;ELE1003;Automatiseringssystemer;SkriftligEksamen;-;186;0
2019/20;ELE2001;Elenergisystemer;SkriftligEksamen;-;107;0
2019/20;ELE2002;Automatiseringssystemer;SkriftligEksamen;-;107;0
2019/20;ELE2003;Data- og elektronikksystemer;SkriftligEksamen;-;107;0
2019/20;ELE2004;Tverrfaglig eksamen elenergi;SkriftligEksamen;2,00;106;0
2019/20;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;SkriftligEksamen;-;1 442;0
2019/20;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;SkriftligEksamen;-;1 551;1
2019/20;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;SkriftligEksamen;-;1 207;1
2019/20;ENG1102;Engelsk muntlig, vg1 studieforberedende utdanningsprogram;SkriftligEksamen;-;7;0
2019/20;ENG1103;Engelsk muntlig, vg2 yrkesfaglige utdanningsprogram;SkriftligEksamen;-;28;0
2019/20;FRI2001;Produksjon;SkriftligEksamen;-;24;0
2019/20;FRI2002;Frisyredesign;SkriftligEksamen;-;24;0
2019/20;FRI2003;Tverrfaglig eksamen frisør;SkriftligEksamen;-;17;0
2019/20;FSP5010;Finsk I, 1. år;SkriftligEksamen;-;7;0
2019/20;FSP5011;Finsk I;SkriftligEksamen;-;17;0
2019/20;FSP5019;Fransk I, 1. år;SkriftligEksamen;-;37;0
2019/20;FSP5020;Fransk I;SkriftligEksamen;-;10;0
2019/20;FSP5022;Fransk II, 1. år;SkriftligEksamen;-;160;0
2019/20;FSP5023;Fransk II;SkriftligEksamen;-;116;0
2019/20;FSP5026;Fransk I+II;SkriftligEksamen;-;2;0
2019/20;FSP5027;Fransk II, muntlig;SkriftligEksamen;-;14;0
2019/20;FSP5029;Italiensk I;SkriftligEksamen;-;30;0
2019/20;FSP5086;Russisk II;SkriftligEksamen;-;2;0
2019/20;FSP5089;Russisk I+II;SkriftligEksamen;-;1;1
2019/20;FSP5090;Russisk II, muntlig;SkriftligEksamen;-;2;0
2019/20;FSP5091;Spansk I, 1. år;SkriftligEksamen;-;241;0
2019/20;FSP5092;Spansk I;SkriftligEksamen;-;257;0
2019/20;FSP5093;Spansk I, muntlig;SkriftligEksamen;-;33;0
2019/20;FSP5094;Spansk II, 1. år;SkriftligEksamen;-;335;0
2019/20;FSP5095;Spansk II;SkriftligEksamen;-;305;1
2019/20;FSP5096;Spansk I+II, 1. år;SkriftligEksamen;-;34;0
2019/20;FSP5097;Spansk I+II, 2. år;SkriftligEksamen;-;66;0
2019/20;FSP5098;Spansk I+II;SkriftligEksamen;-;62;0
2019/20;FSP5099;Spansk II, muntlig;SkriftligEksamen;-;26;0
2019/20;FSP5100;Tegnspråk I, 1. år;SkriftligEksamen;-;16;0
2019/20;FSP5101;Tegnspråk I;SkriftligEksamen;-;1;0
2019/20;FSP5105;Tegnspråk I+II, 1. år;SkriftligEksamen;-;11;0
2019/20;FSP5118;Tysk I, 1. år;SkriftligEksamen;-;276;0
2019/20;FSP5119;Tysk I;SkriftligEksamen;-;237;1
2019/20;FSP5120;Tysk I, muntlig;SkriftligEksamen;-;28;0
2019/20;FSP5121;Tysk II, 1. år;SkriftligEksamen;-;346;0
2019/20;FSP5122;Tysk II;SkriftligEksamen;-;365;0
2019/20;FSP5123;Tysk I+II, 1. år;SkriftligEksamen;-;81;0
2019/20;FSP5124;Tysk I+II, 2. år;SkriftligEksamen;-;62;0
2019/20;FSP5125;Tysk I+II;SkriftligEksamen;-;83;0
2019/20;FSP5126;Tysk II, muntlig;SkriftligEksamen;-;27;0
2019/20;FSP5801;Albansk I;SkriftligEksamen;-;1;0
2019/20;FSP5802;Albansk I, muntlig;SkriftligEksamen;-;3;0
2019/20;FSP5804;Albansk II;SkriftligEksamen;-;2;0
2019/20;FSP5808;Albansk II, muntlig;SkriftligEksamen;-;2;0
2019/20;FSP5813;Arabisk II;SkriftligEksamen;-;8;0
2019/20;FSP5816;Arabisk I+II;SkriftligEksamen;-;1;0
2019/20;FSP5817;Arabisk II, muntlig;SkriftligEksamen;-;9;0
2019/20;FSP5855;Kurdisk (sorani) I;SkriftligEksamen;-;1;1
2019/20;FSP5856;Kurdisk (sorani) I, muntlig;SkriftligEksamen;-;1;0
2019/20;FSP5876;Polsk II;SkriftligEksamen;-;5;0
2019/20;FSP5880;Polsk II, muntlig;SkriftligEksamen;-;6;0
2019/20;FSP5889;Somali II, muntlig;SkriftligEksamen;-;1;0
2019/20;FSP5900;Tyrkisk I;SkriftligEksamen;-;1;0
2019/20;FSP5901;Tyrkisk I, muntlig;SkriftligEksamen;-;1;0
2019/20;FSP5918;Vietnamesisk I;SkriftligEksamen;-;1;0
2019/20;FSP5919;Vietnamesisk I, muntlig;SkriftligEksamen;-;1;0
2019/20;FSP6002;Panjabi II;SkriftligEksamen;-;1;0
2019/20;FSP6006;Panjabi II, muntlig;SkriftligEksamen;-;1;0
2019/20;FSP6094;Litauisk I;SkriftligEksamen;-;1;0
2019/20;FSP6095;Litauisk I, muntlig;SkriftligEksamen;-;1;0
2019/20;FSP6097;Litauisk II;SkriftligEksamen;-;2;0
2019/20;FSP6100;Litauisk I+II;SkriftligEksamen;-;1;0
2019/20;FSP6101;Litauisk II, muntlig;SkriftligEksamen;-;4;0
2019/20;FSP6112;Serbisk I;SkriftligEksamen;-;1;0
2019/20;FSP6113;Serbisk I, muntlig;SkriftligEksamen;-;1;0
2019/20;FSP6115;Serbisk II;SkriftligEksamen;-;1;0
2019/20;FSP6119;Serbisk II, muntlig;SkriftligEksamen;-;1;0
2019/20;GEO1001;Geografi;SkriftligEksamen;-;1 424;0
2019/20;HEA2001;Helsefremmende arbeid;SkriftligEksamen;-;198;0
2019/20;HEA2002;Kommunikasjon og samhandling;SkriftligEksamen;-;198;0
2019/20;HEA2003;Yrkesutøvelse;SkriftligEksamen;-;198;0
2019/20;HEA2004;Tverrfaglig eksamen helsearbeiderfag;SkriftligEksamen;-;162;0
2019/20;HEA3001;Helsearbeiderfaget;SkriftligEksamen;-;1;0
2019/20;HES2001;Helsefremmende arbeid;SkriftligEksamen;-;50;0
2019/20;HES2002;Kommunikasjon og samhandling;SkriftligEksamen;-;50;0
2019/20;HES2003;Yrkesutøvelse;SkriftligEksamen;-;50;0
2019/20;HES2004;Tverrfaglig eksamen helseservicefag;SkriftligEksamen;-;49;0
2019/20;HHO2001;Stalldrift;SkriftligEksamen;-;15;0
2019/20;HHO2002;Aktiviteter med hest;SkriftligEksamen;-;15;0
2019/20;HHO2003;Hest og hestehold;SkriftligEksamen;-;15;0
2019/20;HHO2004;Tverrfaglig eksamen heste- og hovslagerfag;SkriftligEksamen;-;14;0
2019/20;HIS1001;Historie vg2 studieforberedende utdanningsprogram;SkriftligEksamen;-;1 451;0
2019/20;HIS1002;Historie vg3 studieforberedende utdanningsprogram;SkriftligEksamen;-;1 480;0
2019/20;HIS1003;Historie vg3 påbygging til generell studiekompetanse;SkriftligEksamen;-;446;0
2019/20;HSE3001;Helsefremmande arbeid;SkriftligEksamen;-;11;0
2019/20;HSE3002;Kommunikasjon og samhandling;SkriftligEksamen;-;11;0
2019/20;HSE3003;Yrkesutøvelse;SkriftligEksamen;-;11;0
2019/20;HSE3004;Tverrfaglig eksamen, helsesekretær;SkriftligEksamen;-;11;0
2019/20;HSF1001;Helsefremmende arbeid;SkriftligEksamen;-;443;0
2019/20;HSF1002;Kommunikasjon og samhandling;SkriftligEksamen;-;442;0
2019/20;HSF1003;Yrkesutøvelse;SkriftligEksamen;-;442;0
2019/20;IBA2010;English B HL;SkriftligEksamen;-;20;0
2019/20;IBA2015;English B SL;SkriftligEksamen;-;2;0
2019/20;IBA2016;English A language and literature HL;SkriftligEksamen;-;19;0
2019/20;IBA2018;English A language and literature SL;SkriftligEksamen;-;6;0
2019/20;IBA2025;Theory of Knowledge;SkriftligEksamen;-;37;0
2019/20;IBA2030;History HL;SkriftligEksamen;-;17;0
2019/20;IBA2035;History SL;SkriftligEksamen;-;6;0
2019/20;IBA2040;Biology HL;SkriftligEksamen;-;11;0
